material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
YBCO,1.28,0.0,mcmillan,51.49009336709716,5.157951052926798,39.7417451635106,7.704948099683841,903413.8807267705,210743.47522516106,9843997.043633727,8749594749488.532,1201055046710.6328,1201055046710.6328,1.0,207544.6253005635,1.7556481738436553e-30,8.614954298230259e+27,1.0506111217615068,0.12,911.1775438328241
YBCO,1.3,0.0,mcmillan,51.781352736206806,5.1408805321079605,39.60334992392568,7.70361218794687,909581.1996229781,212204.4721400299,9909480.43743102,8840109931119.586,1198471920565.339,1198471920565.339,1.0,208027.8585809629,1.751569933399991e-30,8.655117989156223e+27,1.0538739520617835,0.12,911.884171019778
YBCO,1.32,0.0,mcmillan,52.06879406379827,5.124222401767042,39.467538641381886,7.702151769948912,915678.2450704551,213651.47527532667,9974013.831600484,8929989885041.062,1195938626245.4634,1195938626245.4634,1.0,208504.81344463624,1.7475632163127576e-30,8.694851445916511e+27,1.057096868374616,0.12,912.580545091132
YBCO,1.34,0.0,mcmillan,52.35252010709707,5.107960473048721,39.33422500206535,7.700573489087407,921706.7843518102,215084.82241070326,10037622.346629795,9019247403187.768,1193453633142.1787,1193453633142.1787,1.0,208975.66476249404,1.7436257126595173e-30,8.734165692585258e+27,1.0602809527753625,0.12,913.2669668330598
YBCO,1.36,0.0,mcmillan,52.6326294493939,5.092079428961939,39.203326809434536,7.698883600766307,927668.516118868,216504.8383161523,10100330.12794793,9107894849561.188,1191015472400.3003,1191015472400.3003,1.0,209440.58001318248,1.739755220201671e-30,8.773071311251661e+27,1.063427242382854,0.12,913.9437238803753
YBCO,1.38,0.0,mcmillan,52.90921672572576,5.076564765128866,39.074765730669334,7.6970879991673735,933565.0739801081,217911.83543532804,10162160.395797938,9195944180166.01,1188622734021.4312,1188622734021.4312,1.0,209899.7196990589,1.7359496378671613e-30,8.8115784659487e+27,1.066536731857243,0.12,914.6110914752423
YBCO,1.4,0.0,mcmillan,53.182372833386836,5.06140273536913,38.94846706215287,7.6951922418622445,939398.0298534324,219306.11452366415,10223135.49195296,9283406961761.338,1186274064103.959,1186274064103.959,1.0,210353.2377331038,1.7322069597156352e-30,8.849696924959938e+27,1.0696103757250688,0.12,915.2693331718255
YBCO,1.42,0.0,mcmillan,53.45218512848466,5.046580301660671,38.824359512308135,7.693201572465271,945168.8971026503,220687.9652448775,10283276.923513277,9370294389512.176,1183968162215.844,1183968162215.844,1.0,210801.2817991843,1.728525269344021e-30,8.887436081635824e+27,1.0726490905457768,0.12,915.9187014914389
YBCO,1.44,0.0,mcmillan,53.71873760964254,5.032085088068187,38.70237500028042,7.691120941505825,950879.1334743492,222057.66672911707,10342605.404000634,9456617303619.152,1181703778895.7087,1181703778895.7087,1.0,211243.99368785162,1.7249027346946755e-30,8.924804973838621e+27,1.0756537569325701,0.12,916.5594385323218
YBCO,1.46,0.0,mcmillan,53.98211108985009,5.017905338273376,38.58244846910732,7.688955025680746,956530.1438503643,223415.48809571864,10401140.891948367,9542386204998.268,1179479713277.3718,1179479713277.3718,1.0,211681.50960964902,1.7213376032319772e-30,8.961812302123985e+27,1.07862522143927,0.12,917.1917765377586
YBCO,1.48,0.0,mcmillan,54.24238335737293,5.004029876379543,38.464517712150936,7.686708245631085,962123.2828296978,224761.68894326084,10458902.62716856,9627611270076.332,1177294810832.8071,1177294810832.8071,1.0,212113.96048772236,1.7178281974565783e-30,8.998466446757409e+27,1.0815642983237685,0.12,917.8159384259242
YBCO,1.5,0.0,mcmillan,54.49962932655065,4.990448070697059,38.34852321168549,7.684384782372661,967659.8571525252,226096.51980937997,10515909.164862117,9712302364762.523,1175147961228.4243,1175147961228.4243,1.0,212541.4722313606,1.714372910729449e-30,9.034775483654844e+27,1.0844717711976986,0.12,918.4321382845075
MgB2,0.8,0.0,mcmillan,34.27338919725048,11.825065053660945,40.2190941216789,3.401173180795939,389381.2963873509,139572.2050671126,1872918.2884569513,3726412395175.6826,1077991124696.2225,1077991124696.2225,1.0,293379.8305628786,1.3972407694609515e-30,6.694467498530259e+27,0.8762202945926294,0.1,741.6786246787738
MgB2,0.82,0.0,mcmillan,34.5004370987192,11.776286977877003,40.07040248406118,3.40263468097692,392445.0220149566,140645.00166064833,1888465.8976740225,3769669133264.3,1086643490077.6885,1086643490077.6885,1.0,294105.1571545554,1.393794873119418e-30,6.727610047270443e+27,0.8788204852135112,0.1,742.5948893338758
MgB2,0.84,0.0,mcmillan,34.72278523158357,11.729107510142835,39.92582415166631,3.4039950709924134,395450.4308900106,141698.28174093354,1903688.8817734215,3812293047196.83,1094932557639.4259,1094932557639.4259,1.0,294814.73318285146,1.3904402123137991e-30,6.76011209235257e+27,0.8813654537272417,0.1,743.4901645064624
MgB2,0.86,0.0,mcmillan,34.94063613495376,11.683437244778805,39.78515137995854,3.405260844597601,398399.9404000266,142732.8466409228,1918600.9152079085,3854307530270.454,1102880681912.0461,1102880681912.0461,1.0,295509.26372641505,1.3871722836395053e-30,6.792000829298838e+27,0.8838576467269953,0.1,744.3654139513927
MgB2,0.88,0.0,mcmillan,35.15417923393423,11.639193736808442,39.64819144449349,3.4064379664982996,401295.8152768428,143749.44716264374,1933214.8090307864,3895734601986.633,1110508416171.2483,1110508416171.2483,1.0,296189.4067953331,1.3839869043097022e-30,6.823301698715545e+27,0.8862993485686513,0.1,745.2215360154653
MgB2,0.9,0.0,mcmillan,35.36359196139356,11.596300814782879,39.51476524225542,3.407531925343148,404140.1804177402,144748.78782756568,1947542.5829979144,3936595017483.2793,1117834690128.1753,1117834690128.1753,1.0,296855.77746186435,1.380880182642431e-30,6.854038536526838e+27,0.888692695538946,0.1,746.0593694478983
MgB2,0.92,0.0,mcmillan,35.569040761411785,11.554687975124155,39.38470605107913,3.408547780422079,406935.03237353323,145731.5306838089,1961595.530232743,3976908366051.922,1124876967070.7026,1124876967070.7026,1.0,297508.9515457118,1.377848491852912e-30,6.884233708320009e+27,0.891039688501618,0.1,746.8796985781643
MgB2,0.94,0.0,mcmillan,35.770681989147704,11.5142898467662,39.25785842627732,3.409490202932744,409682.24966776714,146698.29872494825,1975384.2753619351,4016693160038.754,1131651383158.1187,1131651383158.1187,1.0,298149.468910433,1.3748884467177927e-30,6.91390822978903e+27,0.8933422042143145,0.1,747.6832579421996
MgB2,0.96,0.0,mcmillan,35.968662719761575,11.475045716621121,39.1340772167325,3.4103635125434346,412383.60208794096,147649.67896739035,1988918.8269019248,4055966915250.0264,1138172871176.6094,1138172871176.6094,1.0,298777.8364193552,1.3719968827428216e-30,6.943081874977964e+27,0.8956020054810657,0.1,748.4707364261418
MgB2,0.98,0.0,mcmillan,36.163121477260155,11.43689910784413,39.013226685324675,3.4111717098708163,415040.7590701395,148586.22522676789,2002208.6245696212,4094746223831.3013,1144455270730.9724,1144455270730.9724,1.0,299394.5305924709,1.36917083751933e-30,6.971773273786688e+27,0.8978207502817129,0.1,749.2427809868327
MgB2,1.0,0.0,mcmillan,36.35418889263914,11.399797404071085,38.89517972074893,3.41191850539894,417655.29728196625,149508.46062828068,2015262.5820997378,4133046820462.124,1150511426568.1155,1150511426568.1155,1.0,300000.0,1.366407534e-30,7e+27,0.9,0.1,750.0
MgB2,1.02,0.0,mcmillan,36.54198829943831,11.363691513802936,38.77981712960712,3.412607345289435,420228.7074947067,150416.87988124823,2028089.12607442,4170883642598.814,1156353276491.538,1156353276491.538,1.0,300594.66742342355,1.3637043654622637e-30,7.027778650931005e+27,0.9021412268554267,0.1,750.7429662800173
MgB2,1.04,0.0,mcmillan,36.726636273754174,11.3285355699487,38.66702699919964,3.4132414344685458,422762.4008237878,151311.95134417491,2040696.2312053759,4208270885405.258,1161991930125.6672,1161991930125.6672,1.0,301178.9318106602,1.3610588819595876e-30,7.055124919625246e+27,0.9042458206299054,0.1,751.472219809214
MgB2,1.06,0.0,mcmillan,36.90824312484303,11.294286660241998,38.55670412274561,3.413823757322578,425257.71440645773,152194.1189032472,2053091.4524527323,4245222051931.787,1167437739618.806,1167437739618.806,1.0,301753.1700485479,1.358468778087896e-30,7.08205366044928e+27,0.9063150947683121,0.1,752.1882702096779
