theta_rad,Jc_A_per_m2
1.1562806294462433,3201019.794440492
1.160643952576229,3196649.943164441
1.1650072757062149,3192333.140303985
1.1693705988362009,3188069.1653714417
1.1737339219661866,3183857.8003321076
1.1780972450961724,3179698.829607929
1.1824605682261582,3175592.0400806954
1.1868238913561442,3171537.2210947587
1.19118721448613,3167534.164459327
1.1955505376161157,3163582.664450323
1.1999138607461015,3159682.5178118516
1.2042771838760873,3155833.5237572757
1.2086405070060733,3152035.4839699306
1.213003830136059,3148288.20260349
1.2173671532660448,3144591.4862820003
1.2217304763960306,3140945.1440995964
1.2260937995260166,3137348.9876199253
1.2304571226560024,3133802.8308752794
1.2348204457859882,3130306.4903654642
1.239183768915974,3126859.785056409
1.2435470920459597,3123462.5363785406
1.2479104151759457,3120114.5682249255
1.2522737383059315,3116815.706949198
1.2566370614359172,3113565.781363292
1.261000384565903,3110364.6227349755
1.265363707695889,3107212.064785214
1.2697270308258748,3104107.9436853635
1.2740903539558606,3101052.0980542107
1.2784536770858463,3098044.368954867
1.2828170002158321,3095084.5998915313
1.2871803233458181,3092172.6368061253
1.2915436464758039,3089308.328074815
1.2959069696057897,3086491.5245044306
1.3002702927357754,3083722.0793287884
1.3046336158657614,3080999.84820492
1.3089969389957472,3078324.689209236
1.313360262125733,3075696.4628336043
1.3177235852557188,3073115.0319813783
1.3220869083857045,3070580.2619633605
1.3264502315156905,3068092.020493727
1.3308135546456763,3065650.1776859057
1.335176877775662,3063254.6060484215
1.3395402009056478,3060905.1804807205
1.3439035240356338,3058601.778268967
1.3482668471656196,3056344.279081829
1.3526301702956054,3054132.5649662595
1.3569934934255912,3051966.520343269
1.361356816555577,3049846.032003706
1.365720139685563,3047770.989104044
1.3700834628155487,3045741.283162186
1.3744467859455345,3043756.808053282
1.3788101090755203,3041817.460005578
1.3831734322055063,3039923.1375962873
1.387536755335492,3038073.741747497
1.3919000784654778,3036269.1757221157
1.3962634015954636,3034509.3451198563
1.4006267247254494,3032794.1578732696
1.4049900478554354,3031123.524243825
1.4093533709854211,3029497.356818047
1.413716694115407,3027915.570503706
1.4180800172453927,3026378.082526071
1.4224433403753787,3024884.8124242257
1.4268066635053644,3023435.6820474514
1.4311699866353502,3022030.6155516817
1.435533309765336,3020669.5393960294
1.4398966328953218,3019352.3823393853
1.4442599560253078,3018079.0754371015
1.4486232791552935,3016849.552037755
1.4529866022852793,3015663.747779989
1.457349925415265,3014521.60058945
1.461713248545251,3013423.0506758033
1.4660765716752369,3012368.040529846
1.4704398948052226,3011356.514920711
1.4748032179352084,3010388.420893163
1.4791665410651942,3009463.7077649925
1.4835298641951802,3008582.3271245123
1.487893187325166,3007744.232828145
1.4922565104551517,3006949.380998122
1.4966198335851375,3006197.7300202767
1.5009831567151235,3005489.240541949
1.5053464798451093,3004823.875469993
1.509709802975095,3004201.5999688907
1.5140731261050808,3003622.3814589754
1.5184364492350666,3003086.1896147677
1.5227997723650526,3002592.996363414
1.5271630954950384,3002142.7758832457
1.5315264186250241,3001735.5046024458
1.53588974175501,3001371.161197825
1.540253064884996,3001049.726593724
1.5446163880149817,3000771.1839610157
1.5489797111449675,3000535.518716232
1.5533430342749532,3000342.7185208066
1.557706357404939,3000192.773280426
1.562069680534925,3000085.6751445057
1.5664330036649108,3000021.4185057776
1.5707963267948966,3000000.0
1.5751596499248823,3000021.4185057776
1.5795229730548683,3000085.6751445057
1.583886296184854,3000192.773280426
1.5882496193148399,3000342.7185208066
1.5926129424448257,3000535.518716232
1.5969762655748114,3000771.1839610157
1.6013395887047974,3001049.726593724
1.6057029118347832,3001371.161197825
1.610066234964769,3001735.5046024458
1.6144295580947547,3002142.7758832457
1.6187928812247407,3002592.996363414
1.6231562043547265,3003086.1896147677
1.6275195274847123,3003622.3814589754
1.631882850614698,3004201.5999688907
1.6362461737446838,3004823.875469993
1.6406094968746698,3005489.240541949
1.6449728200046556,3006197.7300202767
1.6493361431346414,3006949.380998122
1.6536994662646272,3007744.232828145
1.6580627893946132,3008582.3271245123
1.662426112524599,3009463.7077649925
1.6667894356545847,3010388.420893163
1.6711527587845705,3011356.514920711
1.6755160819145565,3012368.040529846
1.6798794050445423,3013423.0506758033
1.684242728174528,3014521.60058945
1.6886060513045138,3015663.747779989
1.6929693744344996,3016849.5520377546
1.6973326975644856,3018079.0754371015
1.7016960206944713,3019352.3823393853
1.7060593438244571,3020669.5393960294
1.710422666954443,3022030.6155516817
1.714785990084429,3023435.6820474514
1.7191493132144147,3024884.8124242257
1.7235126363444004,3026378.082526071
1.7278759594743862,3027915.570503706
1.732239282604372,3029497.356818047
1.736602605734358,3031123.524243825
1.7409659288643438,3032794.1578732696
1.7453292519943295,3034509.3451198568
1.7496925751243153,3036269.1757221157
1.7540558982543013,3038073.741747497
1.758419221384287,3039923.1375962873
1.7627825445142729,3041817.460005578
1.7671458676442586,3043756.808053282
1.7715091907742444,3045741.283162186
1.7758725139042304,3047770.989104044
1.7802358370342162,3049846.032003706
1.784599160164202,3051966.520343269
1.7889624832941877,3054132.5649662595
1.7933258064241737,3056344.279081829
1.7976891295541595,3058601.778268967
1.8020524526841453,3060905.1804807205
1.806415775814131,3063254.606048421
1.8107790989441168,3065650.1776859052
1.8151424220741028,3068092.020493727
1.8195057452040886,3070580.2619633605
1.8238690683340744,3073115.0319813783
1.8282323914640601,3075696.4628336043
1.8325957145940461,3078324.689209236
1.836959037724032,3080999.8482049205
1.8413223608540177,3083722.079328788
1.8456856839840035,3086491.524504431
1.8500490071139892,3089308.328074815
1.8544123302439752,3092172.6368061253
1.858775653373961,3095084.5998915313
1.8631389765039468,3098044.368954867
1.8675022996339325,3101052.09805421
1.8718656227639185,3104107.9436853635
1.8762289458939043,3107212.064785214
1.88059226902389,3110364.6227349755
1.8849555921538759,3113565.781363292
1.8893189152838616,3116815.706949198
1.8936822384138476,3120114.5682249255
1.8980455615438334,3123462.5363785406
1.9024088846738192,3126859.785056409
1.906772207803805,3130306.4903654642
1.911135530933791,3133802.8308752794
1.9154988540637767,3137348.9876199253
1.9198621771937625,3140945.1440995964
1.9242255003237483,3144591.486282
1.928588823453734,3148288.20260349
1.93295214658372,3152035.4839699306
1.9373154697137058,3155833.523757275
1.9416787928436916,3159682.5178118516
1.9460421159736774,3163582.664450323
1.9504054391036634,3167534.164459327
1.9547687622336491,3171537.2210947587
1.959132085363635,3175592.0400806954
1.9634954084936207,3179698.829607929
1.9678587316236065,3183857.8003321076
1.9722220547535925,3188069.1653714417
1.9765853778835782,3192333.140303985
1.980948701013564,3196649.943164441
1.9853120241435498,3201019.794440492
1.9896753472735358,3205442.9170686286
1.9940386704035216,3209919.5364294425
1.9984019935335073,3214449.8803423797
2.0027653166634933,3219034.1790599143
2.007128639793479,3223672.665261126
2.011491962923465,3228365.574044655
2.0158552860534504,3233113.142921005
2.0202186091834364,3237915.611804173
2.0245819323134224,3242773.2230025735
2.028945255443408,3247686.2212092252
2.033308578573394,3252654.853491188
2.0376719017033795,3257679.3692781874
2.0420352248333655,3262760.020350436
2.0463985479633515,3267897.0608255803
2.050761871093337,3273090.747144765
2.055125194223323,3278341.338057781
2.059488517353309,3283649.0946072326
2.0638518404832946,3289014.2801117282
2.0682151636132806,3294437.160148028
2.072578486743266,3299918.002532113
2.076941809873252,3305457.0772991595
2.081305133003238,3311054.6566823344
2.0856684561332237,3316711.015090413
2.0900317792632097,3322426.4290841534
2.0943951023931953,3328201.177351374
2.0987584255231813,3334035.5406807177
2.1031217486531673,3339929.8019340155
2.107485071783153,3345884.246017243
2.111848394913139,3351899.1598499836
2.1162117180431244,3357974.8323333655
2.1205750411731104,3364111.5543164113
2.1249383643030963,3370309.618560753
2.129301687433082,3376569.3197036446
2.133665010563068,3382890.9542192263
2.138028333693054,3389274.820377965
2.1423916568230394,3395721.218204224
2.1467549799530254,3402230.4494318957
2.151118303083011,3408802.817458014
2.155481626212997,3415438.627294314
2.159844949342983,3422138.18551663
2.1642082724729685,3428901.800212093
2.1685715956029545,3435729.78092404
2.17293491873294,3442622.43859455
2.177298241862926,3449580.0855045626
2.181661564992912,3456603.0352114574
2.1860248881228976,3463691.602484043
2.1903882112528836,3470846.10323487
2.194751534382869,3478066.8544497546
2.199114857512855,3485354.1741144666
2.203478180642841,3492708.3811384533
2.2078415037728267,3500129.795275525
2.2122048269028127,3507618.737041412
2.2165681500327987,3515175.5276280716
2.2209314731627843,3522800.4888146683
2.2252947962927703,3530493.9428751157
2.229658119422756,3538256.212482063
2.234021442552742,3546087.6206072397
2.238384765682728,3553988.4904180225
2.2427480888127134,3561959.145170131
2.2471114119426994,3569999.9080963237
2.251474735072685,3578111.102290972
2.255838058202671,3586293.0505904006
2.260201381332657,3594546.0754488576
2.2645647044626425,3602870.498809989
2.2689280275926285,3611266.64197369
2.2732913507226145,3619734.8254581867
2.2776546738526,3628275.3688572207
2.282017996982586,3636888.590692195
2.2863813201125716,3645574.8082591235
2.2907446432425576,3654334.3374702516
2.2951079663725436,3663167.4926901865
2.299471289502529,3672074.5865663905
2.303834612632515,3681055.929853871
2.3081979357625007,3690111.831233909
2.3125612588924866,3699242.5971266683
2.3169245820224726,3708448.531497502
2.321287905152458,3717729.935656804
2.325651228282444,3727087.108053217
2.3300145514124297,3736520.3440600196
